"Date","N°/Type","Description","Mémo","Montant EUR","Compte","Catégorie","Pointé","Labels"
"29/08/2014","","CION ENC/ 2 CHQ 2152","","-1.40","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"29/08/2014","","TVA SUR CION ENCAISSEMENT","","-0.25","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/08/2014","","CHQ 6069405 FAV STE SOBAQUE","carreaux joint + ciment colle","-53.86","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie"
"28/08/2014","","COMM/AUT PASS DECOUVERT REF:3999525","","-4.00","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/08/2014","","CION/VIRT RECU","","-1.42","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/08/2014","","TVA/COMM/AUT PASS DECOUVERT REF:3999525","","-0.72","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"28/08/2014","","VIR O/ST MICRO ELECTRONICS S.A","","1426.38","> Revenus> Salaires","> Actifs> Comptes chèques> Amen","NON",""
"27/08/2014","","CHQ 6069404 FAV IDEAL CUISINE SARL","dressing","-1650.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","divers"
"27/08/2014","","INT/ CREDIT LONG TERME HABITAT DU 27/08/2","","-504.31","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/08/2014","","REGLEMENT  EFFET  AU : 27082014","","-283.49","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"27/08/2014","","RECH TN USSD 27082014 058140827809","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"27/08/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"26/08/2014","","PHCIE KILANI SAMIRA","","-30.17","> Dépenses> Santé","> Actifs> Comptes chèques> Amen","NON",""
"25/08/2014","","CHQ 6069401 FAV ASKRI SLAHEDDINE","revetement cuisine","-672.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie"
"22/08/2014","","CHQ 4319150 FAV LOTFI GHRAIRI","Salon (ricci)","-1350.00","> Actifs> Maison> Mobilier","> Actifs> Comptes chèques> Amen","NON",""
"21/08/2014","","SONEDE","","-27.20","> Dépenses> Logement> Cotisations","> Actifs> Comptes chèques> Amen","NON",""
"20/08/2014","","REST. LE CHATEAU NEUF HAMMAMET","","-80.00","> Dépenses> Loisirs> Restaurant","> Actifs> Comptes chèques> Amen","NON",""
"19/08/2014","","CHQ 4319146 FAV STE D'EQUIPEMENTS MO","semobat (porte blindée)","-1000.00","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie"
"19/08/2014","","CHQ 4319143 FAV SICERAM PLUS","faience wc","-323.09","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie"
"19/08/2014","","CHQ 4319144 FAV GECER HALIT","tac (linge lit)","-170.00","> Dépenses> Logement> chez moi> Equipement","> Actifs> Comptes chèques> Amen","NON",""
"19/08/2014","","CHQ 4319147 FAV HATEM TAKALI -OIL LIBYA","","-60.00","> Dépenses> Auto> Essence","> Actifs> Comptes chèques> Amen","NON",""
"19/08/2014","","CHQ 4319148 FAV STE SOBAQUE","ciment colle","-30.56","> Actifs> Maison> travaux","> Actifs> Comptes chèques> Amen","NON","maconnerie"
"18/08/2014","","RECH TN USSD 18082014 058140817003","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"15/08/2014","","VERSEMENT 05820140815VER264","","5000.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"12/08/2014","","CHQ 4319145 FAV STE BLUE MOTORS  SARL","","-109.00","> Dépenses> Auto> Entretien","> Actifs> Comptes chèques> Amen","NON",""
"12/08/2014","","RECH TN USSD 12082014 058140811672","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"08/08/2014","","RECH TN USSD 08082014 058140807407","","-5.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"07/08/2014","","DAB CACS AB","","-100.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"04/08/2014","","SONEDE","","-48.50","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"04/08/2014","","STEG","","-44.30","> Dépenses> Logement> chez moi> Factures","> Actifs> Comptes chèques> Amen","NON",""
"01/08/2014","","STE HAMTEL","","-20.00","> Dépenses> Quotidien> Communications> Portable","> Actifs> Comptes chèques> Amen","NON",""
"31/07/2014","","REGLEMENT  EFFET  AU : 27072014","","-297.54","> Crédits> Appartement","> Actifs> Comptes chèques> Amen","NON",""
"31/07/2014","","CION/REGLEMENT EFFET","","-2.95","> Dépenses> Banque> Frais banquaires","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","ATM EL AGBA","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","ATM EL AGBA","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","ATM EL AGBA","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
"30/07/2014","","ATM EL AGBA","","-500.00","> Actifs> Porte-monnaie","> Actifs> Comptes chèques> Amen","NON",""
