"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"22/12/2014","40.00","CHQ 6937383 FAV MR GARGOURI OUSSAMA","parabole","6937383","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"27/11/2014","60.00","Main d'oeuvre Electricien: Fares","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Electricien"
"05/11/2014","1170.00","CHQ 6937379 FAV KHEMIRI AZIZ AZIZ","?","6937379","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"05/11/2014","200.00","CHEQUE NO 6937380","?","6937380","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"29/10/2014","570.00","CHQ 6672596 FAV JERIDI KHALED","plombier","6672596","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","plomberie"
"28/10/2014","130.00","CHQ 6672597 FAV STE CARTHAGO EL","caches des prises","6672597","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"26/10/2014","15.00","vis & chevilles","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"24/10/2014","140.00","CHEQUE NO 6672594","electricien","6672594","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"23/10/2014","40.00","Cuisine (pour boire)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"23/10/2014","60.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Electricien"
"22/10/2014","250.00","CHEQUE NO 6672593","?","6672593","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"21/10/2014","55.00","CHQ 6937378 FAV SANI BAINS DISTRIBUTION","complement mitigeur cuisine","6937378","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"21/10/2014","10.00","Livreur Salon (pour boire)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"20/10/2014","120.00","CHQ 6672590 FAV BEN ZEKRI MAJDI","?","6672590","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"16/10/2014","35.00","TechnoMarbre (pour boire)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"15/10/2014","20.00","Dressing (pour boire)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"14/10/2014","105.00","CHQ 6672588 FAV SANI BAINS DISTRIBUTION","mitigeur cuisine","6672588","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"14/10/2014","40.00","Dressing (pour boire)","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","mains d'oeuvres"
"14/10/2014","17.00","3x decapant","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"11/10/2014","13.00","2x silicon","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Matos;plomberie"
"07/10/2014","150.00","Main d'oeuvre: Peintre","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Peintre"
"02/10/2014","2613.50","CHQ 6672582 FAV STE DE L ECONOMIE MODERNE","Matos plomberie","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"02/10/2014","103.00","CHQ 6069425 FAV ABBES EPOUSE BORCHANJOUDA","?","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"02/10/2014","200.00","Main d'oeuvre: Peintre","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Peintre"
"29/09/2014","3100.00","CHEQUE NO 6672580","matos electricité","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"27/09/2014","50.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Electricien"
"26/09/2014","1500.00","CHQ 6672579 FAV IDEAL CUISINE SARL","Complement dressing chambre","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"26/09/2014","1050.00","CHQ 6672578 FAV IDEAL CUISINE SARL","Dressing Entrée","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"24/09/2014","29.54","STE LA VILLA","Complement fileurs cuisine","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON",""
"23/09/2014","35.00","CHQ 6672576 FAV MHIRSI DISTRIBUTION","telerupteur","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"22/09/2014","140.00","Menuisier","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Menuisier"
"21/09/2014","100.00","Matériel Electricité Sofiene","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","electricité"
"20/09/2014","60.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"20/09/2014","4.00","2x boites étanches","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","electricité"
"19/09/2014","17.50","7 prises","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","electricité"
"17/09/2014","112.00","CHQ 6069420 FAV ASKRI LARBI","revetement salon","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"17/09/2014","100.00","CHQ 6069422 FAV STE QUINCAILLER","dominos + prises + divers","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"17/09/2014","56.00","CHQ 6069421 FAV ASKRI SLAHEDDINE","revetement salon (reserve)","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"17/09/2014","1200.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"16/09/2014","2.00","sable","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"15/09/2014","12.00","carreaux joint","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"15/09/2014","500.00","Main d'oeuvre Electricien: Sofiane","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Electricien"
"14/09/2014","20.00","Main d'oeuvre Saff: Azouz","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Staffeur"
"13/09/2014","50.00","bonus Kais","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Ouvrier"
"13/09/2014","300.00","Main d'oeuvre plomberie: Khaled","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Plombier"
"13/09/2014","500.00","Main d'oeuvres travaux: el 3id","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Maçon"
"12/09/2014","41.00","2xCiment + 8xsable + 1gravier + transport","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"12/09/2014","40.00","Transport déchets","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","divers;Ouvrier"
"11/09/2014","96.40","CHQ 6069418 FAV STE GENERALE DES INDDE PE","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"10/09/2014","695.00","CHQ 6069417 FAV MR KANOUN ABDELWAHEB","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","electricité"
"10/09/2014","37.00","CHQ 6069415 FAV ASKRI LARBI","","","> Actifs> Comptes chèques> Amen","> Actifs> Maison> travaux","NON","maconnerie"
"10/09/2014","11.00","5 interrpteurs","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","electricité"
"10/09/2014","40.00","Menuisier","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Menuisier"
"10/09/2014","10.00","Ciment","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","maconnerie;Matos"
"09/09/2014","3200.00","Aluminium","","","> Actifs> Porte-monnaie","> Actifs> Maison> travaux","NON","Aluminium"
