"Date","N°/Type","Description","Mémo","Montant EUR","Compte","Catégorie","Pointé","Labels"
"31/08/2014","","Chambre à coucher (avance)","","-2400.00","> Actifs> Maison> Mobilier","> Actifs> Porte-monnaie","NON",""
"30/08/2014","","cuba café","","-20.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"30/08/2014","","Transport déchets","","-20.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"30/08/2014","","siphon + cache flexible","","-7.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"30/08/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"30/08/2014","","Main d'oeuvre Saff: kamel","","-1000.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"29/08/2014","","Peinture","","-440.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"27/08/2014","","Café","","-10.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"26/08/2014","","Transport déchets","","-20.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"26/08/2014","","sable","","-25.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"26/08/2014","","Ciment","","-185.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"22/08/2014","","week end mahdia","","-50.00","> Dépenses> Vacances","> Actifs> Porte-monnaie","NON","Quotidien"
"22/08/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"20/08/2014","","Marbre pour fenetre chambre a coucher","","-75.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos"
"20/08/2014","","Découpe plinthe partie nuit","","-50.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"17/08/2014","","Vetement halloula","","-40.00","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula;Quotidien"
"17/08/2014","","Resto marsa + café carrefour","","-20.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"17/08/2014","","Café","","-11.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"16/08/2014","","Retrait pour travaux","","5000.00","> Actifs> Placement> Bourse> Compte bourse moon","> Actifs> Porte-monnaie","NON","Quotidien"
"16/08/2014","","2 x Ciment colle + 7kg carreaux joint","","-32.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"16/08/2014","","yoghourterie marsa","","-15.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"16/08/2014","","Vetement halloula","","-70.00","> Dépenses> Achats & Shopping> Cadeaux> Moi","> Actifs> Porte-monnaie","NON","Halloula;Quotidien"
"16/08/2014","","Main d'oeuvres travaux: el 3id","","-1000.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"15/08/2014","","VERSEMENT 05820140815VER264","","-5000.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"15/08/2014","","3x Ciment colle","","-34.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"15/08/2014","","Main d'oeuvre Saff: Azouz","","-30.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"15/08/2014","","Glace avec selim & dorra","","-15.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"12/08/2014","","Main d'oeuvre Saff: kamel","","-1000.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"12/08/2014","","Matériel Electricité","","-1000.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","electricité;Matos"
"11/08/2014","","briques","","-32.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","","Ciment","","-170.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","","sable","","-50.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"11/08/2014","","Transport sable","","-15.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"11/08/2014","","Transport déchets","","-40.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"09/08/2014","","Carburant","","-65.00","> Dépenses> Auto> Essence","> Actifs> Porte-monnaie","NON","Quotidien"
"09/08/2014","","Transport déchets","","-50.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Ouvrier"
"09/08/2014","","Extracteur","","-12.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"09/08/2014","","Matériel plomberie","","-600.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"09/08/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"07/08/2014","","DAB CACS AB","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/08/2014","","4xBaguette pour faience","","-12.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"05/08/2014","","Remboursement Siceram (par terre sdb)","","131.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"02/08/2014","","Retrait pour travaux","","10000.00","> Actifs> Placement> Bourse> Compte bourse moon","> Actifs> Porte-monnaie","NON","Quotidien"
"02/08/2014","","Matériel plomberie: deux douchettes","","-180.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"02/08/2014","","Main d'oeuvre plomberie: Khaled","","-600.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Plombier"
"01/08/2014","","Café","","-2.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"31/07/2014","","Golf","","-35.00","> Dépenses> Loisirs> Bar","> Actifs> Porte-monnaie","NON","Quotidien"
"30/07/2014","","ATM EL AGBA","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","","ATM EL AGBA","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","","ATM EL AGBA","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","","ATM EL AGBA","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/07/2014","","ATM SOUK ETTROUK","","50.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"29/07/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"27/07/2014","","Café","","-10.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"25/07/2014","","Evacuation déchets plombier & electricien","","-50.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Ouvrier"
"25/07/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"25/07/2014","","Main d'oeuvre Saff: kamel","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Staffeur"
"25/07/2014","","Main d'oeuvre Electricien: Sofiane","","-600.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Electricien"
"24/07/2014","","Chez Ghassen","","-35.00","> Dépenses> Loisirs> Restaurant","> Actifs> Porte-monnaie","NON","Quotidien"
"24/07/2014","","Baguette pour faience","","-5.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"22/07/2014","","Main d'oeuvre plomberie: Khaled","","-400.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Plombier"
"22/07/2014","","Matériel plomberie","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"21/07/2014","","ATM CARNOY","","400.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","","ATM CARNOY","","400.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","","ATM CARNOY","","400.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"21/07/2014","","Ghar el Mel7: Gateaux + jus","","-60.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"21/07/2014","","chaine + balais","","-15.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"21/07/2014","","4 sacs de gravier","","-6.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"19/07/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"18/07/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"18/07/2014","","Transport sable","","-15.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"18/07/2014","","Evacuation déchets","","-20.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"18/07/2014","","Ciment","","-70.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"18/07/2014","","sable","","-40.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"17/07/2014","","CHQ 4319141 FAV DALLALI SYRINE","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","600.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","","ATM EL MANAR CAMPUS","","190.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"14/07/2014","","Grillages","","-6.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"13/07/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"12/07/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"12/07/2014","","Matériel plomberie","","-1500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Matos;plomberie"
"12/07/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"08/07/2014","","briques + transport","","-190.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"08/07/2014","","Transport des caissons pour volets","","-20.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"07/07/2014","","ATM EL MANAR CAMPUS","","600.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"07/07/2014","","ATM EL MANAR CAMPUS","","500.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"07/07/2014","","ATM EL MANAR CAMPUS","","400.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/07/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"05/07/2014","","Revente portes & fenêtres","","170.00","> Actifs> Maison","> Actifs> Porte-monnaie","NON",""
"30/06/2014","","DAB CACS AB","","300.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/06/2014","","DAB CACS AB","","300.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"30/06/2014","","DAB CACS AUTRE BQ","","100.00","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"27/06/2014","","sable","","-80.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"27/06/2014","","Ciment & briques","","-655.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","maconnerie;Matos"
"27/06/2014","","évacuation déchets","","-140.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","divers;Matos"
"27/06/2014","","Main d'oeuvres travaux: el 3id","","-800.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"21/06/2014","","Main d'oeuvres travaux: el 3id","","-500.00","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Maçon"
"15/06/2014","","Revente télé + récepteur occasion","","100.00","> Dépenses> Logement> chez moi","> Actifs> Porte-monnaie","NON",""
"12/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"11/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"09/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"08/06/2014","","04 * 60dt / jour","","240.00","> Revenus> Loyer","> Actifs> Porte-monnaie","NON",""
"07/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"05/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"04/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"02/06/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"01/06/2014","","10 * 60dt / jour","","600.00","> Revenus> Loyer","> Actifs> Porte-monnaie","NON",""
"31/05/2014","","Salade au lac + cheese cake","","-45.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"28/05/2014","","twenty one","","-5.00","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
"28/05/2014","","Café","","-10.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"26/05/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"25/05/2014","","Fleurs Maman de hela","","-10.00","> Dépenses> Achats & Shopping> Cadeaux> Amis","> Actifs> Porte-monnaie","NON","Quotidien"
"21/05/2014","","10 * 50dt / jour","","500.00","> Revenus> Loyer","> Actifs> Porte-monnaie","NON",""
"21/05/2014","","Café","","-5.00","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON","Quotidien"
"21/05/2014","","dejeuner: Am Naceur","","-9.00","> Dépenses> Quotidien> Alimentation","> Actifs> Porte-monnaie","NON","Quotidien"
