"Date","Montant EUR","Description","N°/Type","Mémo","Compte","Catégorie","Pointé","Labels"
"04/01/2015","-15.00","yoghourt, fromage, chips, coca","","","> Dépenses> Logement> Cotisations","> Actifs> Porte-monnaie","NON",""
"04/01/2015","-7.00","Coiffeur","","","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON",""
"02/01/2015","-6.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"31/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"31/12/2014","-11.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"30/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"30/12/2014","-2856.00","Solde initial","","","> Divers> Soldes initiaux","> Actifs> Porte-monnaie","NON",""
"30/12/2014","50.00","RCACS  082  DU  30/12/2014","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"29/12/2014","-65.00","Cafés du mois","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"26/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"22/12/2014","50.00","DAB CACS AB","","082","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"19/12/2014","50.00","DAB CACS AUTRE BQ","","","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"09/12/2014","50.00","DAB CACS AB","","082","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"04/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"03/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"01/12/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"30/11/2014","-6.00","Coiffeur","","","> Dépenses> Quotidien> Coiffeur","> Actifs> Porte-monnaie","NON",""
"27/11/2014","50.00","DAB CACS AB","","082","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"27/11/2014","-60.00","Main d'oeuvre Electricien: Fares","","","> Actifs> Maison> travaux","> Actifs> Porte-monnaie","NON","Electricien"
"27/11/2014","-25.00","Fleurs pour moon","","","> Dépenses> Achats & Shopping> Cadeaux> Famille","> Actifs> Porte-monnaie","NON",""
"24/11/2014","100.00","ATM EL MANAR","","028","> Actifs> Comptes chèques> Amen","> Actifs> Porte-monnaie","NON",""
"05/11/2014","-25.00","produits d'hygiene","","","> Dépenses> Quotidien> Produits","> Actifs> Porte-monnaie","NON",""
"05/11/2014","-5.00","Café","","","> Dépenses> Loisirs> Café","> Actifs> Porte-monnaie","NON",""
"05/11/2014","-45.00","salon de the: 716","","","> Dépenses> Loisirs> Sorties","> Actifs> Porte-monnaie","NON",""
